city,cityId,locality,localityId,bhk_numbers,bhkId,propertyType_name,propertyType_id,No.of Bathroom,bathroomId,amenities_name,amenities_id,minArea,maxArea,builderid,buildername,minPrice,maxPrice
Bangalore,1,,,,,,,,,,,1040,1456,2353,Chithaary Developers,0,0
Bangalore,1,,,,,,,,,,,1160,1235,2353,Chithaary Developers,8004000,8522000
Bangalore,1,,,,,,,,,,,1686,1780,2353,Chithaary Developers,0,0
Bangalore,1,,,,,,,,,,,1200,1500,1540,VSAN Infrastructure Pvt Ltd,598000,748000
Bangalore,1,,,,,,,,,,,0,0,2353,Chithaary Developers,0,0
Bangalore,1,,,,,,,,,,,0,0,1540,VSAN Infrastructure Pvt Ltd,0,0
Bangalore,1,,,,,,,,,,,3309,3309,691,Skanda Groups And Developers,19800000,19800000
Bangalore,1,,,,,,,,,,,1202,1425,2353,Chithaary Developers,0,0
Bangalore,1,,,,,,,,,,,1165,1254,2353,Chithaary Developers,0,0
Bangalore,1,,,,,,,,,,,3507,6877,142,Skylark Mansions,26300000,51600000
Bangalore,1,,,,,,,,,,,1116,1508,2327,Thipparthi Constructions,5580000,7540000
Bangalore,1,,,,,,,,,,,1100,1170,2353,Chithaary Developers,0,0
Bangalore,1,,,,,,,,,,,2642,2690,1533,Daiwik Housing,9643000,9818000
Bangalore,1,,,,,,,,,,,373,950,584,Vivansaa Group,1062000,2706000
Bangalore,1,,,,,,,,,,,3315,3715,153,Gopalan Enterprises,16000000,17500000
Bangalore,1,,,,,,,,,,,1142,1586,229,Aryan Hometec Builders,4795000,6659000
Bangalore,1,,,,,,,,,,,1146,1227,2353,Chithaary Developers,5500000,5889000
Bangalore,1,,,,,,,,,,,1400,1400,2353,Chithaary Developers,8500000,8500000
Bangalore,1,,,,,,,,,,,3755,3755,1695,Value Designbuild Builders,36000000,36000000
Bangalore,1,,,,,,,,,,,488,1171,836,Bright Way Properties,2440000,5855000
Bangalore,1,,,,,,,,,,,1200,2400,99,Thrive 360 East Developers,1620000,3240000
Bangalore,1,,,,,,,,,,,1175,1588,65,Address Maker,8284000,11100000
Bangalore,1,,,,,,,,,,,3658,3658,2375,Sycon Constructions,38000000,38000000
Bangalore,1,,,,,,,,,,,1200,1200,229,Aryan Hometec Builders,1200000,1200000
Bangalore,1,,,,,,,,,,,1200,1600,229,Aryan Hometec Builders,0,0
Bangalore,1,,,,,,,,,,,4657,4657,163,Sterling Developers,48000000,48000000
